COMID,StrLen,d50,StrDepth,Q,StrVel,StrXArea,Date
9731288,186.0,0.0002155879,0.97,0.658,0.031895298109549206,20.63,07/01/2014
9731288,186.0,0.0002155879,0.97,0.686,0.033252544837615125,20.63,07/02/2014
9731288,186.0,0.0002155879,0.97,2.378,0.11526902569074166,20.63,07/03/2014
9731288,186.0,0.0002155879,0.97,4.907,0.2378574890935531,20.63,07/04/2014
9731288,186.0,0.0002155879,0.97,0.695,0.033688802714493454,20.63,07/05/2014
9731288,186.0,0.0002155879,0.97,0.715,0.034658264663111976,20.63,07/06/2014
9731288,186.0,0.0002155879,0.97,0.735,0.03562772661173049,20.63,07/07/2014
9731288,186.0,0.0002155879,0.97,0.752,0.03645176926805623,20.63,07/08/2014
9731288,186.0,0.0002155879,0.97,1.453,0.07043141056713524,20.63,07/09/2014
9731288,186.0,0.0002155879,0.97,0.776,0.03761512360639845,20.63,07/10/2014
9731288,186.0,0.0002155879,0.97,0.783,0.03795443528841493,20.63,07/11/2014
9731288,186.0,0.0002155879,0.97,0.786,0.038099854580707714,20.63,07/12/2014
9731288,186.0,0.0002155879,0.97,0.786,0.038099854580707714,20.63,07/13/2014
9731288,186.0,0.0002155879,0.97,0.783,0.03795443528841493,20.63,07/14/2014
9731288,186.0,0.0002155879,0.97,1.435,0.06955889481337858,20.63,07/15/2014
9731288,186.0,0.0002155879,0.97,2.77,0.13427047988366458,20.63,07/16/2014
9731288,186.0,0.0002155879,0.97,0.765,0.03708191953465827,20.63,07/17/2014
9731288,186.0,0.0002155879,0.97,0.759,0.03679108095007271,20.63,07/18/2014
9731288,186.0,0.0002155879,0.97,0.762,0.03693650024236549,20.63,07/19/2014
9731288,186.0,0.0002155879,0.97,0.744,0.03606398448860882,20.63,07/20/2014
9731288,186.0,0.0002155879,0.97,3.993,0.19355307804168687,20.63,07/21/2014
9731288,186.0,0.0002155879,0.97,1.303,0.06316044595249637,20.63,07/22/2014
9731288,186.0,0.0002155879,0.97,0.728,0.03528841492971401,20.63,07/23/2014
9731288,186.0,0.0002155879,0.97,0.84,0.0407174018419777,20.63,07/24/2014
9731288,186.0,0.0002155879,0.97,0.85,0.041202132816286964,20.63,07/25/2014
9731288,186.0,0.0002155879,0.97,0.767,0.037178865729520116,20.63,07/26/2014
9731288,186.0,0.0002155879,0.97,0.848,0.04110518662142511,20.63,07/27/2014
9731288,186.0,0.0002155879,0.97,0.822,0.03984488608822104,20.63,07/28/2014
9731288,186.0,0.0002155879,0.97,0.813,0.0394086282113427,20.63,07/29/2014
9731288,186.0,0.0002155879,0.97,0.822,0.03984488608822104,20.63,07/30/2014
9731288,186.0,0.0002155879,0.97,0.826,0.04003877847794474,20.63,07/31/2014
